Key,english

buffLumberjackSetBonusBWDesc,"With the proper gear, a Lumberjack can go all day.\n\nDouble wood harvest and use {cvar(.armorLumberjackFSBDisplay01:0)}% less stamina when using axes.\n\nTier 6 full armor bonus: gain 100% block damage with axes. When you are in the snow biome you have no encumbrance, move 10% faster and regenerate stamina 30% faster. Deal 500% more damage and gain 500% extra dismember chance with chainsaws" 
buffPreacherSetBonusBWDesc,"A Saint's comfort and security.\n\nReduces the chance of critical injuries by {cvar(.armorPreacherFSBDisplay01:0)}% and infection chances by {cvar(.armorPreacherFSBDisplay02:0)}%.\n\nTier 6 full armor bonus: when below 40% health, gain a 25% chance of restoring full health. When in the burnt biome, regenerate stamina 10% faster, have no encumbrance and move 10% faster. Attacking a radiated zombie removes their health regeneration buff."
buffRogueSetBonusBWDesc,"Rogues have a natural instinct for locating loot that others might overlook.\n\nFind {cvar(.armorRogueFSBDisplay:0)}% more cash and dukes in loot.\n\nTier 6 full armor bonus: Find 100% more lockpicks in loot, find 1000% more rare gems in loot. Deal 500% more damage to doors and safes. Deal 50% more damage and gain 30% faster attack speed with knives. Gain 30% movement speed, 100% crouch speed and 25% stamina regeneration at night. Gain 50% crouch speed during the day."
buffAthleticSetBonusBWDesc,"The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\n\nUse {cvar(.armorAthleticFSBDisplay:0)}% less food and water.\n\nTier 6 full armor bonus: Lose 25% less stamina when running and jumping. Regenerate stamina 25% faster when running and jumping. Move 20% faster. Gain a 1m jump height bonus. Have no encumbrance when in the Pine Forest biome. Gain 30% faster attack speed and 50% more damage with clubs"
buffEnforcerSetBonusBWDesc,"Feeling lucky in a well tailored suit gives the Enforcer a slight edge in a gun fight.\n\n.44 ammo does {cvar(.armorEnforcerFSBDisplay01:0)}% more damage and 9mm weapons, .44 Magnum and Desert Vulture reload {cvar(.armorEnforcerFSBDisplay01:0)}% faster.\n\nTier 6 full armor bonus: 2% spread in ADS mode, recover spread 90% faster and have 25% recoil control with revolvers. Weapons equipped with a suppressor will grant 50% extra exp gain on kill and deal 120% bonus sneak damage."
buffFarmerSetBonusBWDesc,"Knowing where it comes from, Farmers recover faster from food.\n\nGain {cvar(.armorFarmerFSBDisplay:0)}% more health and stamina from food.\n\nTier 6 full armor bonus: Gain 50% faster rate of fire with pump action shotguns, all shotgun shells deal 50% more damage. Deal 50% more damage to animals and zombie animals with anything. Deal 50% more damage and attack 30% faster with Spears. Gain 60% extra attack speed with knives for an easier crop harvesting. Harvest 60% + 10 raw bonus total crops"
buffScavengerSetBonusBWDesc,"Scavengers have a keen eye at uncovering valuable treasures that might elude others.\n\nFind {cvar(.armorScavengerFSBDisplay:0)}% better quality loot.\n\nTier 6 full armor bonus: Find 100% more ammo in loot. Gain 15% bonus chance of a loot bag dropping when killing a zombie. Deal 50% more damage with sniper rifles. Gain 2% spread while ADS, 60% reload speed, 25% recoil control and 90% faster spread recovery with sniper rifles. Gain 30% more exp when killing an enemy with a sniper rifle."
buffBikerSetBonusBWDesc,"Biker's full road gear is not only intimidating, but provides additional physical protection.\n\nArmor rating is increased by {cvar(.armorBikerFSBDisplay01:0)}.\nMinibikes and motorcycles use {cvar(.armorBikerFSBDisplay02:0)}% less fuel.\n\nTier 6 full armor bonus: Reload double barrel shotguns 80% faster. All shotgun shells deal 50% more damage. Deal 50% extra explosive damage. Deal 50% more damage and gain 30% faster attack speed with knuckle weapons."
buffRangerSetBonusBWDesc,"The Ranger's rapid reload is a result of intensive training, honed muscle memory, and tactical finesse.\n\nReload {cvar(.armorRangerFSBDisplay:0)}% faster with Revolvers and Lever-Action Rifles.\n\nTier 6 full armor bonus: Gain 40% extra magainze size with revolvers and lever action rifles. 50% increased rate of fire and 10% recoil control with revolvers, Desert Vultures and lever action rifles. 90% faster spread recovery with revolvers and lever action rifles. When in the desert biome: Have no encumbrance, move 10% faster and regenerate stamina 10% faster."
